Date,Open,High,Low,Close,Adj Close,Volume
2013-12-02,42.765999,43.192001,42.532001,42.978001,38.462807,4442500
2013-12-03,42.830002,42.883999,42.425999,42.542000,38.072601,4220500
2013-12-04,42.208000,42.736000,42.074001,42.459999,37.999195,3011000
2013-12-05,42.354000,42.675999,42.189999,42.529999,38.061867,6012000
2013-12-06,42.875999,43.700001,42.700001,43.639999,39.055244,4871000
2013-12-09,43.248001,43.804001,43.144001,43.473999,38.906693,3734000
2013-12-10,43.458000,43.618000,43.188000,43.354000,38.799294,2632000
2013-12-11,43.652000,44.014000,43.338001,43.700001,39.108963,5349000
2013-12-12,43.372002,43.897999,43.153999,43.566002,39.105362,6980500
2013-12-13,43.765999,44.250000,43.714001,44.088001,39.573917,4658000
2013-12-16,44.200001,44.478001,44.021999,44.368000,39.825233,5095500
2013-12-17,44.458000,44.632000,43.958000,44.444000,39.893448,5837000
2013-12-18,44.316002,45.139999,43.953999,45.029999,40.419460,7343000
2013-12-19,45.000000,45.175999,44.411999,44.526001,39.967060,4231000
2013-12-20,44.599998,45.147999,44.422001,44.891998,40.295582,12573500
2013-12-23,45.313999,45.332001,44.782001,45.212002,40.582817,3870000
2013-12-24,45.202000,45.216000,44.754002,45.202000,40.573849,1404000
2013-12-26,45.245998,45.414001,44.816002,44.972000,40.367401,1746000
2013-12-27,44.936001,45.125999,44.723999,44.948002,40.345856,2186000
2013-12-30,45.076000,45.139999,44.377998,44.703999,40.126831,1718000
2013-12-31,44.700001,45.178001,44.490002,44.984001,40.378170,2211000
2014-01-02,44.832001,45.098000,44.430000,44.919998,40.320728,3833500
2014-01-03,44.919998,45.391998,44.894001,45.175999,40.550510,4864000
2014-01-06,45.380001,45.764000,45.202000,45.292000,40.654629,3358500
2014-01-07,45.768002,45.900002,45.209999,45.563999,40.898781,4283000
2014-01-08,45.433998,45.641998,44.998001,45.402000,40.753365,3239500
2014-01-09,45.588001,45.771999,45.400002,45.506001,40.846718,2715000
2014-01-10,45.290001,45.476002,44.810001,45.066002,40.451763,3007500
2014-01-13,45.000000,45.112000,44.001999,44.102001,39.586468,3104500
2014-01-14,44.212002,44.265999,43.655998,43.959999,39.459019,4922000
2014-01-15,43.942001,43.998001,41.664001,42.175999,37.857674,18126000
2014-01-16,41.759998,42.532001,41.619999,41.866001,37.579414,6980500
2014-01-17,41.804001,42.062000,41.206001,41.374001,37.137783,8568000
2014-01-21,41.675999,42.466000,41.523998,41.599998,37.340652,7743000
2014-01-22,41.832001,42.195999,41.473999,41.995998,37.696095,5814000
2014-01-23,41.630001,41.798000,41.195999,41.377998,37.141373,5182000
2014-01-24,41.200001,41.403999,40.868000,40.872002,36.687187,6562000
2014-01-27,41.646000,41.646000,40.521999,40.632000,36.471764,7131500
2014-01-28,41.799999,41.799999,40.799999,41.380001,37.143177,4005500
2014-01-29,40.608002,41.526001,40.608002,40.956001,36.762585,4184500
2014-01-30,40.202000,41.910000,40.202000,41.860001,37.574020,2909000
2014-01-31,41.119999,42.049999,41.119999,41.757999,37.482456,4142000
2014-02-03,41.636002,41.716000,40.599998,40.689999,36.523827,5956500
2014-02-04,40.624001,41.799999,40.580002,41.773998,37.496838,5225500
2014-02-05,41.736000,42.102001,41.000000,41.512001,37.261658,3559000
2014-02-06,41.622002,42.116001,41.476002,42.084000,37.775089,4082000
2014-02-07,42.035999,43.259998,42.035999,43.105999,38.692448,6084000
2014-02-10,43.119999,43.380001,42.254002,42.422001,38.078484,7185000
2014-02-11,42.680000,43.397999,42.422001,43.296001,38.863007,6399000
2014-02-12,43.310001,43.750000,42.694000,43.481998,39.029953,5858000
2014-02-13,43.292000,43.966000,43.147999,43.382000,38.940186,3558500
2014-02-14,43.250000,43.400002,42.644001,42.970001,38.570381,3447500
2014-02-18,42.976002,43.689999,42.970001,43.389999,38.947369,4050000
2014-02-19,43.094002,43.276001,42.316002,42.355999,38.019249,4185000
2014-02-20,42.481998,42.666000,41.930000,42.049999,37.744568,3335500
2014-02-21,42.273998,42.785999,42.015999,42.582001,38.222111,4760000
2014-02-24,42.534000,43.279999,42.453999,43.063999,38.654747,3430000
2014-02-25,42.930000,43.442001,42.658001,42.846001,38.459068,3460500
2014-02-26,43.046001,43.054001,41.734001,41.778000,37.500420,5333500
2014-02-27,42.692001,42.692001,41.250000,41.816002,37.534542,4375500
2014-02-28,41.854000,42.344002,41.537998,41.768002,37.491451,3740000
2014-03-03,41.481998,42.124001,41.341999,41.995998,37.696095,3868500
2014-03-04,42.304001,43.077999,42.254002,42.984001,38.582943,2778500
2014-03-05,42.916000,43.216000,42.534000,42.779999,38.399841,3687000
2014-03-06,42.910000,43.868000,42.910000,42.993999,38.591923,5162500
