Date,Open,High,Low,Close,Adj Close,Volume
2013-12-02,24.480000,24.490000,24.459999,24.469999,21.604624,35200
2013-12-03,24.469999,24.510000,24.469999,24.469999,21.604624,55300
2013-12-04,24.430000,24.450001,24.389999,24.450001,21.586975,34500
2013-12-05,24.420000,24.440001,24.389999,24.389999,21.534004,57300
2013-12-06,24.410000,24.430000,24.379999,24.400000,21.542828,38200
2013-12-09,24.430000,24.440001,24.400000,24.420000,21.560495,40700
2013-12-10,24.450001,24.480000,24.440001,24.450001,21.586975,74200
2013-12-11,24.459999,24.459999,24.410000,24.430000,21.569313,29000
2013-12-12,24.389999,24.410000,24.370001,24.379999,21.525179,12700
2013-12-13,24.420000,24.420000,24.370001,24.389999,21.534004,84300
2013-12-16,24.440001,24.440001,24.379999,24.400000,21.542828,44400
2013-12-17,24.400000,24.440001,24.389999,24.420000,21.560495,35100
2013-12-18,24.389999,24.520000,24.170000,24.389999,21.534004,35100
2013-12-19,24.370001,24.370001,24.330000,24.360001,21.507509,46400
2013-12-20,24.360001,24.400000,24.360001,24.379999,21.525179,24100
2013-12-23,24.379999,24.389999,24.350000,24.360001,21.507509,23700
2013-12-24,24.340000,24.340000,24.309999,24.309999,21.463375,27600
2013-12-26,24.280001,24.299999,24.260000,24.280001,21.456301,37400
2013-12-27,24.290001,24.290001,24.270000,24.270000,21.447462,25300
2013-12-30,24.280001,24.309999,24.270000,24.290001,21.465143,22200
2013-12-31,24.290001,24.340000,24.230000,24.299999,21.473974,24800
2014-01-02,24.280001,24.309999,24.280001,24.299999,21.473974,24100
2014-01-03,24.290001,24.330000,24.270000,24.280001,21.456301,15400
2014-01-06,24.320000,24.340000,24.299999,24.330000,21.500477,29900
2014-01-07,24.350000,24.350000,24.309999,24.309999,21.482821,38900
2014-01-08,24.280001,24.309999,24.260000,24.280001,21.456301,68700
2014-01-09,24.309999,24.309999,24.260000,24.309999,21.482821,56300
2014-01-10,24.379999,24.420000,24.360001,24.420000,21.580029,63200
2014-01-13,24.440001,24.459999,24.410000,24.459999,21.615366,50300
2014-01-14,24.440001,24.440001,24.400000,24.410000,21.571180,48000
2014-01-15,24.389999,24.400000,24.360001,24.379999,21.544670,27300
2014-01-16,24.430000,24.430000,24.400000,24.430000,21.588850,44200
2014-01-17,24.440001,24.450001,24.410000,24.440001,21.597692,30200
2014-01-21,24.450001,24.450001,24.430000,24.440001,21.597692,40800
2014-01-22,24.420000,24.430000,24.389999,24.400000,21.562355,22800
2014-01-23,24.469999,24.520000,24.440001,24.510000,21.659555,56700
2014-01-24,24.549999,24.559999,24.510000,24.530001,21.677216,22200
2014-01-27,24.530001,24.549999,24.500000,24.520000,21.668388,55300
2014-01-28,24.530001,24.530001,24.490000,24.520000,21.668388,48700
2014-01-29,24.570000,24.600000,24.549999,24.570000,21.712587,110100
2014-01-30,24.570000,24.580000,24.540001,24.580000,21.721407,181900
2014-01-31,24.629999,24.629999,24.590000,24.600000,21.739086,19500
2014-02-03,24.590000,24.690001,24.590000,24.680000,21.830193,54600
2014-02-04,24.610001,24.650000,24.610001,24.629999,21.785957,21700
2014-02-05,24.620001,24.620001,24.570000,24.590000,21.750584,19100
2014-02-06,24.570000,24.570000,24.530001,24.540001,21.706364,24000
2014-02-07,24.570000,24.610001,24.559999,24.570000,21.732895,64200
2014-02-10,24.559999,24.600000,24.559999,24.590000,21.750584,42500
2014-02-11,24.549999,24.549999,24.520000,24.530001,21.697508,23000
2014-02-12,24.520000,24.540001,24.490000,24.510000,21.679823,39900
2014-02-13,24.530001,24.580000,24.530001,24.559999,21.724049,45700
2014-02-14,24.570000,24.570000,24.520000,24.559999,21.724049,43300
2014-02-18,24.580000,24.610001,24.559999,24.590000,21.750584,50500
2014-02-19,24.600000,24.620001,24.540001,24.549999,21.715212,35700
2014-02-20,24.549999,24.570000,24.510000,24.520000,21.688667,62200
2014-02-21,24.510000,24.570000,24.510000,24.549999,21.715212,15000
2014-02-24,24.549999,24.559999,24.520000,24.530001,21.697508,47900
2014-02-25,24.580000,24.600000,24.559999,24.590000,21.750584,80600
2014-02-26,24.600000,24.629999,24.580000,24.610001,21.768263,77800
2014-02-27,24.650000,24.670000,24.629999,24.660000,21.812502,40500
2014-02-28,24.639999,24.660000,24.590000,24.650000,21.803652,31900
2014-03-03,24.670000,24.680000,24.639999,24.670000,21.839956,35800
2014-03-04,24.639999,24.639999,24.570000,24.570000,21.751425,21900
2014-03-05,24.549999,24.610001,24.549999,24.590000,21.769129,21000
2014-03-06,24.549999,24.559999,24.520000,24.530001,21.716003,107500
2014-03-07,24.480000,24.500000,24.450001,24.469999,21.662880,35600
2014-03-10,24.490000,24.510000,24.469999,24.500000,21.689459,21800
2014-03-11,24.490000,24.520000,24.469999,24.520000,21.707161,32900
2014-03-12,24.559999,24.559999,24.490000,24.559999,21.742569,22700
2014-03-13,24.520000,24.670000,24.510000,24.610001,21.786831,55800
2014-03-14,24.650000,24.650000,24.610001,24.639999,21.813393,32400
2014-03-17,24.610001,24.620001,24.570000,24.580000,21.760273,14000
2014-03-18,24.549999,24.620001,24.549999,24.620001,21.795685,40800
2014-03-19,24.600000,24.600000,24.480000,24.500000,21.689459,39200
2014-03-20,24.510000,24.510000,24.469999,24.490000,21.680601,18200
2014-03-21,24.490000,24.520000,24.480000,24.520000,21.707161,15800
2014-03-24,24.510000,24.540001,24.480000,24.520000,21.707161,23900
2014-03-25,24.510000,24.549999,24.510000,24.510000,21.698303,23000
2014-03-26,24.580000,24.580000,24.530001,24.580000,21.760273,19100
2014-03-27,24.540001,24.590000,24.540001,24.570000,21.751425,23300
2014-03-28,24.570000,24.580000,24.520000,24.549999,21.733725,15200
2014-03-31,24.540001,24.580000,24.500000,24.530001,21.716003,30000
2014-04-01,24.520000,24.520000,24.480000,24.500000,21.710695,26400
2014-04-02,24.480000,24.480000,24.430000,24.450001,21.666384,20600
2014-04-03,24.420000,24.490000,24.420000,24.450001,21.666384,12700
2014-04-04,24.510000,24.580000,24.450001,24.530001,21.737274,115700
2014-04-07,24.559999,24.580000,24.540001,24.570000,21.772728,48200
2014-04-08,24.570000,24.590000,24.540001,24.580000,21.781588,96400
2014-04-09,24.559999,24.610001,24.540001,24.600000,21.799313,46200
2014-04-10,24.610001,24.680000,24.600000,24.660000,21.852472,33700
2014-04-11,24.700001,24.700001,24.650000,24.690001,21.879057,24700
2014-04-14,24.709999,24.740000,24.650000,24.700001,21.887926,34500
2014-04-15,24.690001,24.690001,24.639999,24.690001,21.879057,13600
2014-04-16,24.690001,24.700001,24.639999,24.650000,21.843613,27400
2014-04-17,24.680000,24.750000,24.580000,24.700001,21.887926,18200
2014-04-21,24.600000,24.610001,24.559999,24.570000,21.772728,46500
2014-04-22,24.580000,24.590000,24.549999,24.570000,21.772728,19600
2014-04-23,24.610001,24.680000,24.610001,24.629999,21.825893,81400
2014-04-24,24.600000,24.670000,24.590000,24.639999,21.834757,29500
2014-04-25,24.620001,24.680000,24.620001,24.650000,21.843613,20100
2014-04-28,24.639999,24.690001,24.610001,24.610001,21.808174,23000
2014-04-29,24.610001,24.700001,24.580000,24.639999,21.834757,48900
2014-04-30,24.670000,24.750000,24.620001,24.690001,21.879057,28200
2014-05-01,24.750000,24.750000,24.629999,24.680000,21.892370,44900
2014-05-02,24.730000,24.740000,24.610001,24.700001,21.910110,37200
2014-05-05,24.750000,24.750000,24.660000,24.740000,21.945585,58200
2014-05-06,24.750000,24.750000,24.660000,24.730000,21.936729,45200
2014-05-07,24.730000,24.790001,24.660000,24.690001,21.901232,41700
2014-05-08,24.730000,24.879999,24.680000,24.770000,21.972193,111500
2014-05-09,24.750000,24.809999,24.690001,24.719999,21.927855,51900
2014-05-12,24.719999,24.910000,24.670000,24.700001,21.910110,54900
2014-05-13,24.750000,24.879999,24.709999,24.730000,21.936729,26100
2014-05-14,24.950001,24.950001,24.660000,24.840000,22.034298,29800
2014-05-15,24.790001,24.940001,24.790001,24.820000,22.016548,36000
2014-05-16,24.830000,24.870001,24.809999,24.840000,22.034298,52500
2014-05-19,24.950001,24.950001,24.780001,24.780001,21.981083,62700
2014-05-20,24.850000,24.889999,24.780001,24.830000,22.025427,56800
2014-05-21,24.930000,24.930000,24.750000,24.790001,21.989950,37900
2014-05-22,24.770000,24.920000,24.750000,24.830000,22.025427,209100
2014-05-23,24.870001,24.910000,24.780001,24.809999,22.007679,36500
2014-05-27,24.910000,24.910000,24.760000,24.860001,22.052048,35700
2014-05-28,24.950001,24.950001,24.889999,24.910000,22.096392,19400
2014-05-29,24.920000,24.950001,24.870001,24.900000,22.087515,30000
2014-05-30,24.950001,24.950001,24.780001,24.860001,22.052048,74300
2014-06-02,24.879999,24.879999,24.760000,24.820000,22.036940,48200
2014-06-03,24.770000,24.889999,24.700001,24.700001,21.930403,122200
2014-06-04,24.740000,24.770000,24.690001,24.709999,21.939281,31000
2014-06-05,24.799999,24.799999,24.670000,24.709999,21.939281,547400
2014-06-06,24.850000,24.850000,24.700001,24.709999,21.939281,18900
2014-06-09,24.650000,24.740000,24.650000,24.680000,21.912645,42800
2014-06-10,24.650000,24.760000,24.629999,24.650000,21.886003,49500
2014-06-11,24.780001,24.780001,24.629999,24.670000,21.903776,37300
2014-06-12,24.719999,24.830000,24.660000,24.730000,21.957039,26100
2014-06-13,24.620001,24.709999,24.620001,24.690001,21.921516,34800
2014-06-16,24.780001,24.780001,24.670000,24.700001,21.930403,26200
2014-06-17,24.700001,24.750000,24.629999,24.639999,21.877129,107700
2014-06-18,24.830000,24.830000,24.660000,24.690001,21.921516,46400
2014-06-19,24.820000,24.820000,24.650000,24.660000,21.894880,35200
2014-06-20,24.709999,24.709999,24.650000,24.680000,21.912645,17400
2014-06-23,24.660000,24.719999,24.660000,24.670000,21.903776,39400
2014-06-24,24.750000,24.750000,24.670000,24.730000,21.957039,45100
2014-06-25,24.790001,24.799999,24.740000,24.740000,21.965918,34200
2014-06-26,24.730000,24.799999,24.730000,24.780001,22.001438,36800
2014-06-27,24.889999,24.889999,24.760000,24.770000,21.992544,228400
2014-06-30,24.799999,24.830000,24.770000,24.790001,22.010315,67800
2014-07-01,24.830000,24.830000,24.719999,24.740000,21.988091,41100
2014-07-02,24.700001,24.730000,24.650000,24.670000,21.925880,35200
2014-07-03,24.600000,24.639999,24.600000,24.639999,21.899210,29400
2014-07-07,24.639999,24.700001,24.639999,24.650000,21.908094,77400
2014-07-08,24.790001,24.790001,24.680000,24.719999,21.970312,73700
2014-07-09,24.760000,24.760000,24.680000,24.740000,21.988091,25300
2014-07-10,24.850000,24.850000,24.750000,24.760000,22.005867,34900
2014-07-11,24.809999,24.850000,24.770000,24.790001,22.032534,40200
2014-07-14,24.750000,24.830000,24.740000,24.760000,22.005867,70200
2014-07-15,24.730000,24.809999,24.719999,24.740000,21.988091,38700
2014-07-16,24.770000,24.809999,24.709999,24.750000,21.996969,37100
2014-07-17,24.770000,24.830000,24.770000,24.820000,22.059181,42900
2014-07-18,24.860001,24.860001,24.790001,24.820000,22.059181,55800
2014-07-21,24.790001,24.879999,24.790001,24.809999,22.050301,35000
2014-07-22,24.860001,24.860001,24.780001,24.820000,22.059181,33200
2014-07-23,24.920000,24.930000,24.820000,24.830000,22.068071,33900
2014-07-24,24.780001,24.780001,24.760000,24.770000,22.014753,39500
2014-07-25,24.750000,24.830000,24.750000,24.809999,22.050301,60700
2014-07-28,24.820000,24.879999,24.780001,24.820000,22.059181,53400
2014-07-29,24.889999,24.889999,24.790001,24.830000,22.068071,40600
2014-07-30,24.780001,24.840000,24.650000,24.740000,21.988091,30200
2014-07-31,24.709999,24.750000,24.700001,24.740000,21.988091,43700
2014-08-01,24.879999,24.879999,24.740000,24.799999,22.063705,40500
2014-08-04,24.860001,24.860001,24.770000,24.790001,22.054813,44100
2014-08-05,24.780001,24.830000,24.709999,24.790001,22.054813,306400
2014-08-06,24.840000,24.889999,24.790001,24.799999,22.063705,57000
2014-08-07,24.850000,24.920000,24.799999,24.879999,22.134890,92100
2014-08-08,24.910000,24.910000,24.840000,24.860001,22.117094,23500
2014-08-11,24.900000,24.900000,24.830000,24.860001,22.117094,36700
2014-08-12,24.889999,24.889999,24.830000,24.830000,22.090401,40200
2014-08-13,24.879999,24.900000,24.860001,24.870001,22.125980,36900
2014-08-14,24.910000,24.940001,24.860001,24.930000,22.179371,32700
2014-08-15,24.940001,25.030001,24.930000,24.980000,22.223850,121500
2014-08-18,24.969999,24.969999,24.889999,24.889999,22.143776,29100
2014-08-19,24.990000,24.990000,24.870001,24.900000,22.152672,48100
2014-08-20,24.860001,24.980000,24.840000,24.850000,22.108196,84900
2014-08-21,24.830000,24.910000,24.830000,24.889999,22.143776,31800
2014-08-22,24.990000,24.990000,24.840000,24.910000,22.161562,58300
2014-08-25,24.900000,24.920000,24.870001,24.910000,22.161562,31100
2014-08-26,24.889999,24.950001,24.889999,24.910000,22.161562,47800
2014-08-27,24.920000,24.969999,24.920000,24.950001,22.197159,92100
2014-08-28,24.969999,25.000000,24.950001,24.969999,22.214958,113600
2014-08-29,24.920000,25.020000,24.920000,25.010000,22.250536,46200
2014-09-02,24.930000,24.980000,24.870001,24.870001,22.148132,120700
2014-09-03,24.900000,24.900000,24.830000,24.870001,22.148132,44300
2014-09-04,24.889999,24.889999,24.809999,24.820000,22.103605,99100
2014-09-05,24.840000,24.940001,24.790001,24.830000,22.112494,164700
2014-09-08,24.900000,24.900000,24.799999,24.809999,22.094688,32700
2014-09-09,24.790001,24.799999,24.760000,24.790001,22.076885,50700
2014-09-10,24.719999,24.780001,24.719999,24.760000,22.050169,64900
2014-09-11,24.820000,24.830000,24.740000,24.740000,22.032349,52300
2014-09-12,24.730000,24.730000,24.680000,24.680000,21.978920,451100
2014-09-15,24.740000,24.740000,24.700001,24.709999,22.005636,38700
2014-09-16,24.700001,24.740000,24.700001,24.709999,22.005636,40400
2014-09-17,24.700001,24.740000,24.660000,24.670000,21.970018,51200
2014-09-18,24.650000,24.690001,24.639999,24.680000,21.978920,31100
2014-09-19,24.719999,24.730000,24.670000,24.719999,22.014547,163700
2014-09-22,24.750000,24.790001,24.730000,24.760000,22.050169,52200
2014-09-23,24.750000,24.799999,24.740000,24.790001,22.076885,90500
2014-09-24,24.770000,24.820000,24.740000,24.750000,22.041256,40800
2014-09-25,24.910000,24.910000,24.780001,24.820000,22.103605,62000
2014-09-26,24.799999,24.809999,24.760000,24.799999,22.085779,70300
2014-09-29,24.830000,24.850000,24.809999,24.840000,22.121412,174100
2014-09-30,24.830000,24.840000,24.799999,24.820000,22.103605,65600
2014-10-01,24.879999,24.900000,24.860001,24.900000,22.195412,271300
2014-10-02,24.950001,24.950001,24.870001,24.879999,22.177584,236500
2014-10-03,24.840000,24.940001,24.809999,24.940001,22.231062,85100
2014-10-06,24.920000,24.920000,24.860001,24.900000,22.195412,75900
2014-10-07,24.980000,24.980000,24.920000,24.959999,22.248892,174700
2014-10-08,25.000000,25.030001,24.930000,25.030001,22.311287,79400
2014-10-09,25.010000,25.049999,24.990000,25.010000,22.293455,96500
2014-10-10,25.040001,25.059999,25.010000,25.059999,22.338030,116000
2014-10-13,25.240000,25.240000,25.020000,25.139999,22.409348,73000
2014-10-14,25.170000,25.170000,25.110001,25.170000,22.436089,83300
2014-10-15,25.370001,25.520000,25.230000,25.270000,22.525221,76000
2014-10-16,25.340000,25.400000,25.200001,25.219999,22.480646,139000
2014-10-17,25.190001,25.190001,25.139999,25.180000,22.445007,78400
2014-10-20,25.240000,25.240000,25.160000,25.200001,22.462831,57600
2014-10-21,25.160000,25.190001,25.139999,25.170000,22.436089,182000
2014-10-22,25.170000,25.170000,25.120001,25.139999,22.409348,84200
2014-10-23,25.080000,25.110001,25.030001,25.100000,22.373693,136900
2014-10-24,25.120001,25.150000,25.080000,25.110001,22.382605,39300
2014-10-27,25.170000,25.170000,25.110001,25.129999,22.400429,28000
2014-10-28,25.160000,25.160000,25.080000,25.090000,22.364779,143700
2014-10-29,25.040001,25.129999,25.010000,25.020000,22.302376,34300
2014-10-30,25.150000,25.150000,25.030001,25.049999,22.329121,50700
2014-10-31,25.100000,25.100000,25.000000,25.049999,22.329121,50700
2014-11-03,25.040001,25.040001,24.940001,24.990000,22.299671,44100
2014-11-04,25.059999,25.059999,24.969999,24.990000,22.299671,79500
2014-11-05,25.020000,25.020000,24.959999,24.980000,22.290756,91600
2014-11-06,24.950001,25.000000,24.940001,24.950001,22.263981,90500
2014-11-07,24.969999,25.030001,24.959999,25.020000,22.326441,160200
2014-11-10,25.070000,25.070000,24.959999,24.959999,22.272900,119900
2014-11-11,24.930000,25.070000,24.910000,24.969999,22.281822,48000
2014-11-12,24.980000,25.030001,24.959999,24.959999,22.272900,202100
2014-11-13,25.070000,25.070000,24.940001,25.000000,22.308596,61900
2014-11-14,25.020000,25.040001,24.950001,25.020000,22.326441,46400
2014-11-17,25.090000,25.090000,24.990000,24.990000,22.299671,80300
2014-11-18,25.030001,25.040001,24.980000,25.030001,22.335367,233400
2014-11-19,25.040001,25.040001,24.980000,25.000000,22.308596,79900
2014-11-20,25.100000,25.100000,24.980000,25.010000,22.317518,71400
2014-11-21,25.030001,25.080000,25.030001,25.049999,22.353214,91300
2014-11-24,25.090000,25.090000,25.020000,25.059999,22.362133,123500
2014-11-25,25.110001,25.160000,25.020000,25.139999,22.433531,119900
2014-11-26,25.180000,25.190001,25.139999,25.150000,22.442448,57500
2014-11-28,25.309999,25.309999,25.150000,25.240000,22.522757,27900
2014-12-01,25.209999,25.290001,25.120001,25.129999,22.448610,65600
2014-12-02,25.150000,25.150000,25.049999,25.059999,22.386087,90000
2014-12-03,25.090000,25.160000,25.040001,25.080000,22.403948,180400
2014-12-04,25.049999,25.120001,24.990000,25.090000,22.412882,424100
2014-12-05,25.070000,25.070000,24.980000,25.030001,22.359289,57200
2014-12-08,25.070000,25.080000,25.010000,25.049999,22.377144,70600
2014-12-09,25.160000,25.170000,25.080000,25.120001,22.439688,120400
2014-12-10,25.100000,25.200001,25.100000,25.190001,22.502209,93800
2014-12-11,25.190001,25.190001,25.129999,25.190001,22.502209,180900
