Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,24.290001,24.34,24.23,24.299999,21.473974,24800
2014-01-31,24.629999,24.629999,24.59,24.6,21.739086,19500
2014-02-28,24.639999,24.66,24.59,24.65,21.803652,31900
2014-03-31,24.540001,24.58,24.5,24.530001,21.716003,30000
2014-04-30,24.67,24.75,24.620001,24.690001,21.879057,28200
2014-05-30,24.950001,24.950001,24.780001,24.860001,22.052048,74300
2014-06-30,24.799999,24.83,24.77,24.790001,22.010315,67800
2014-07-31,24.709999,24.75,24.700001,24.74,21.988091,43700
2014-08-29,24.92,25.02,24.92,25.01,22.250536,46200
2014-09-30,24.83,24.84,24.799999,24.82,22.103605,65600
2014-10-31,25.1,25.1,25.0,25.049999,22.329121,50700
2014-11-28,25.309999,25.309999,25.15,25.24,22.522757,27900
2014-12-31,25.16,25.299999,25.15,25.15,22.489826,61800
2015-01-30,25.940001,25.940001,25.75,25.889999,23.15155,5303500
2015-02-27,25.389999,25.42,25.34,25.41,22.747803,248600
2015-03-31,25.49,25.57,25.48,25.540001,22.884899,461200
2015-04-30,25.309999,25.389999,25.280001,25.360001,22.745876,115400
2015-05-29,25.26,25.719999,25.25,25.26,22.674061,76500
2015-06-30,25.02,25.1,25.02,25.02,22.476425,284400
2015-07-31,25.24,25.27,25.23,25.26,22.715641,85400
2015-08-31,25.24,25.33,25.190001,25.209999,22.695824,661600
2015-09-30,25.379999,25.440001,25.379999,25.41,22.901314,175600
2015-10-30,25.24,25.309999,25.24,25.309999,22.836353,504600
2015-11-30,25.139999,25.18,25.120001,25.18,22.745115,393300
2015-12-31,25.040001,25.139999,25.02,25.059999,22.687214,436400
2016-01-29,25.6,25.620001,25.549999,25.6,23.176094,1930000
2016-02-29,25.77,25.809999,25.75,25.809999,23.393625,330500
2016-03-31,25.73,25.82,25.73,25.799999,23.38455,487100
2016-04-29,25.67,25.75,25.66,25.709999,23.302984,580600
2016-05-31,25.620001,25.719999,25.620001,25.709999,23.330204,257700
2016-06-30,26.25,26.299999,26.209999,26.24,23.840828,557700
2016-07-29,26.27,26.33,26.25,26.33,23.949974,296800
2016-08-31,26.15,26.16,26.110001,26.110001,23.776953,393100
2016-09-30,26.129999,26.15,26.049999,26.08,23.776049,259900
2016-10-31,25.76,25.77,25.719999,25.77,23.518677,691900
2016-11-30,25.02,25.049999,24.959999,24.99,22.832518,883700
2016-12-30,24.879999,24.940001,24.879999,24.93,22.8253,2617800
2017-01-31,24.98,25.040001,24.959999,25.01,22.898552,785000
2017-02-28,25.120001,25.129999,25.08,25.08,22.985609,764000
2017-03-31,25.049999,25.07,25.030001,25.049999,22.98378,485800
2017-04-28,25.17,25.219999,25.15,25.200001,23.14913,1319500
2017-05-31,25.33,25.34,25.290001,25.32,23.289865,510400
2017-06-30,25.299999,25.299999,25.25,25.26,23.265905,515100
2017-07-31,25.25,25.280001,25.24,25.27,23.305573,438100
2017-08-31,25.49,25.51,25.459999,25.5,23.550308,5133700
2017-09-29,25.26,25.280001,25.219999,25.24,23.342234,1057800
2017-10-31,25.190001,25.190001,25.139999,25.139999,23.281109,2409400
2017-11-30,25.139999,25.139999,25.059999,25.09,23.268124,645800
2017-12-29,25.07,25.120001,25.07,25.08,23.324934,1260300
2018-01-31,24.77,24.799999,24.700001,24.75,23.018036,970500
2018-02-28,24.52,24.540001,24.49,24.540001,22.856907,711000
2018-03-29,24.67,24.73,24.67,24.690001,23.029457,1980700
2018-04-30,24.469999,24.49,24.440001,24.459999,22.850094,1128900
2018-05-31,24.65,24.67,24.610001,24.610001,23.026939,627800
2018-06-29,24.620001,24.66,24.610001,24.629999,23.085991,1272900
2018-07-31,24.469999,24.49,24.469999,24.469999,22.972393,878400
2018-08-31,24.639999,24.65,24.6,24.610001,23.144501,757400
2018-09-28,24.360001,24.379999,24.34,24.34,22.930647,795900
2018-10-31,24.190001,24.219999,24.18,24.200001,22.837215,4699300
2018-11-30,24.360001,24.370001,24.34,24.370001,23.039536,1860400
2018-12-31,24.73,24.82,24.65,24.65,23.384438,10940900
2019-01-31,24.870001,24.93,24.870001,24.9,23.621601,16611800
2019-02-28,24.82,24.82,24.76,24.790001,23.560774,2353800
2019-03-29,25.200001,25.24,25.18,25.24,24.029182,3022100
2019-04-30,25.049999,25.110001,25.040001,25.09,23.929979,5527900
2019-05-31,25.59,25.67,25.57,25.65,24.508049,3160100
2019-06-28,25.780001,25.83,25.780001,25.82,24.7148,3465100
2019-07-31,25.709999,25.790001,25.690001,25.77,24.706175,3060000
2019-08-30,26.559999,26.620001,26.549999,26.59,25.533937,5409400
2019-09-30,26.26,26.33,26.25,26.33,25.325224,4548900
