sentiment,negative_reason,cleaned_text,political_party,label
negative,calling election early,"canadian election power grab trudeau , yes -- take away opposition leader chosen obstruction ( non-confidence motion ) disinformation middle worldwide pandemic . yes , one wanted vote ; opposition antic forced .",liberal,0
negative,covid ,"hope trudeau loses canadian election tomorrow , called snap one thinking ’ romp .. seems people ’ like black face hypocrite , super wokist & covid restriction groupie .. let ’ hope poll right , might make government think .",liberal,0
positive,,"dear canadian , election test progressive . whether stand science , woman ’ bipoc right , equality , public healthcare & education , environment . whether stand hate . much lose . ’ let fall back . # cdnpoli #",other,1
negative,calling election early,canadian friend : never forget trudeau year mandate + called completely unnecessary election right vaccine mandate rolled - moment extreme political volatility . gambled country could le accountable . #,liberal,0
positive,,sorry @ thejagmeetsingh voted # ndp life election fighting freedom canadian . voted last saturday @ maxinebernier @ peoplespca # ppc # # voteforhumanrights # voteforfreedom # maximebernier # purplereign # freedom 🇨🇦💜🇨🇦💜🇨🇦,ppc,1
negative,covid ,"vaccine & gun key election 'toole serious plan get canadian vaccinated ( ' even get candidate vaccinated ) & playing game gun deliver fun lobby . many canadian ( ) , climate issue . ...",conservative,0
negative,others,"’ sorry , moderator respond leadership candidate ’ ? debate farce frankly disservice canadian , awful format hope next election see new moderation format . ’ two go , ’ enough . # # cdnpoli",other,0
negative,others,"say . ' skeptical critical mainstream canadian journalism , never seen level trying choose winner/influence outcome election one . feel objectivity lost art many # cdnmedia . # cdnpoli",other,0
positive,,canadian # voteppc support @ maximebernier would blow globalists great reset agenda ! could also catalyst freedom country around world ( including ) would respond ! election important !,ppc,1
positive,,justin trudeau literally rock thrown yet continued showing & answered question election campaign . erin ’ toole ? hiding medium day election ’ want answer legitimate concern canadian . #,liberal,1
negative,scandal,"every time close eye , brain start thinking ’ toole kenney apparently sort arrangement aid cpc ’ election prospect actually cost canadian life . ’ devastating sense … well , everything .",conservative,0
negative,calling election early,"wanted election ? erin 'toole ? jagmeet singh ? canadian ? triggered aug. , day public health agency canada said wave pandemic ? ' given coherent reason called ? thinking .. thinking ... 🤔",ndp,0
positive,,"# throwbackthursday federal election debate night , ready tie 🤗 happens ' # debate night tonight - ' ready jump anyone talk taxing cooky ! 🇨🇦 # vote # canada # cdnpoli",other,1
positive,,"' felt time confidence party best instinct dealing pandemic settle lot vote election . canadian consistently seen caution , mask , vaccine , limit movement , way finish .",other,1
positive,,election kept canadian healthy alive . ' canada going . ' want canada . liberal government proven protect canadian . shown vision team needed move canada forward,liberal,1
positive,,"never mind numerous opinion poll favour conservative . never mind conservative cheerleading canada ’ bought paid-for news medium . advance poll open today open mon . , sept. . election day mon . , sept. . get vote !",conservative,1
negative,scandal,misspoke earlier 'scandal ' - ethic commissioner cleared pmjt wrongdoing - way # otoole & # singh targeted woman mental illness & speaks topic help others order score political point say enough character .,ndp,0
positive,,"voting ? want hear ! team love hearing story canadian ' choosing better election . ' motivates keep moving forward . cast vote , text tag social let know ! 📲 --",other,1
negative,covid ,"canada , unjabbed canadian issue election . many friend jabbed . deal people voting party support passport ? voting someone want limit freedom . vote ppc please .",ppc,0
negative,tell lies,"fellow canadian , appears riding free country `` forgotten `` include ppc candidate ballot . please , everyone , possible wait election day vote party able look matter fully ! # voteppc",ppc,0
positive,,canadian election getting interesting . look like @ justintrudeau screwed timing . ' neck neck race unknown opposition . ' playing going long # canadian $ & @ cafreeland great # canadian economy want long !,liberal,1
positive,,"one canadian want election trudeau ! liberal national purpose ever .. ’ toole want get canada back track , care canadian ! ⁦ @ erinotoole⁩ . rex murphy : ' hollow election without national purpose - national post .",liberal,1
negative,calling election early,"month pandemic , justin trudeau needlessly prorogued parliament one wave needlessly called election another . protecting canadian # covid ’ priority , protecting job trudeau ’ priority . #",liberal,0
positive,,"tomorrow election day . nervous put mildly . say get government deserve . true , @ erinotoole better buckle . ’ got lot work ! wishing cpc huge victory . canadian deserve nothing . hoping tomorrow brighter 🇨🇦 !",conservative,1
negative,others,"@ erinotoole ‘ ‘ disgusting condemn action strongest term possible . political violence never justified medium must free intimidation , harassment , violence . ’ 🤦🏻‍♂️ sure , klan . # hypocrite # cdnpoli # nevervotecpc",conservative,0
negative,tell lies,"plenty fake news cover cbc ’ election town hall week , state broadcaster alone come misleading canadian . ’ fake news friday @ candicemalcolm show ! tune . # cdnpoli",other,0
negative,gun control,"@ erinotoole ‼️wtaf‼️ today , immediately erin ’ toole ’ press conference erin ’ deny secret deal gun lobby… gun lobby say : detail : # cdpoli # nevervoteconservative",conservative,0
negative,others,bird feather . harper stifled medium like . ’ toole guy lot hide & unpopular policy . ’ want questioned day election . ’ want canadian know exactly plan taking away .,conservative,0
negative,others,"opinion💭 cory morgan matter party win # canada ' election , conservative liberal lose . progressive medium establishment created environment leader deviate worldview labelled extreme .",liberal,0
positive,,"@ krismeloche liberal apologist yelling ndp instead liberal vote blue getting old . justin trudeau responsible inspiring people vote leadership . blame calling elxn , trudeau election breaking promise ending fptp .",ndp,1
positive,,happy birthday best brother anybody could ask @ cody_otoole thank always good bad time . always supporting youtube endeavor best friend . happy bro love always ❤️,conservative,1
positive,,"@ chuck_zw @ jaycurrie @ maximebernier voted conservative every election , provincial federal , since age vote . year , vote conscience , value , better future canadian . never voted year , voted ppc would win ! #",ppc,1
positive,,"true strategic voting advice believe canadian ’ freedom attack want vote count save country—then recognize fact : -the liberal set win minority election , voting conservative change .",liberal,1
negative,calling election early,@ ottawapolitico @ erinotoole canadian still waiting @ justintrudeau answer first question asked forced unnecessary election ! trudeau force unnecessary election pandemic ? furthermore report indicate liberal restriction journalist question !,liberal,0
negative,calling election early,"become intolerant ? scandal plagued , black-faced prime minister ' call election , mid-pandemic , campaign unwanted , tell people get vaccinated whether understand , without getting rock thrown ? canada .",other,0
positive,,"canada , many really know election ? injected virus . % recovery rate . coerced plain simple . choice . lpc , cpc ndp give . freedom enemy . ppc freedom .",ndp,1
negative,gun control,"@ erinotoole erin playing semantics . overhauling bad repealing bill allow amend bill appease gun lobby . yesterday , denial asked reporter secret deal gun lobby . erin ’ toole ’ trusted .",conservative,0
positive,,"try , lol . discus ? since , @ thejagmeetsingh increased profile % “ would best ? `` # trudeau & # otoole lost - % ! speaks volume confidence # canadian # singh lead canada #",ndp,1
positive,,"election , clear choice . either move forward liberal plan build better public health care system canadian , let erin ’ toole take backward bringing privatization canada ’ health care system . # forwardforeveryone #",liberal,1
positive,,"remember two liberal running election voted same-sex marriage , restore `` traditional `` definition marriage , conservative voted conversion therapy ban . # canqueer # lgbtq # leadersdebate #",liberal,1
negative,tell lies,"@ erinotoole erin 'toole gutless leader ' even control party . coward hid conservative premier election , keeping job & result canadian died . support tier health care system . 'toole ' trusted",conservative,0
negative,others,friend alberta please advised effing pissed incompetent govt & narcissist incel pose leader . failed leader . warning canadian ’ toole & kenney cut cloth . # nevervoteconservative posting election fact,conservative,0
positive,,"piece @ torontostar discus pandemic ’ , would good time call election . decision need made , canadian need provide input build back better , make responsible decision . vote liberal #",liberal,1
negative,tell lies,"' truth : 👇👇👇 justin trudeau want stay home election day . want vote smaller party . want let get away . canadian fearful , angry , tired lectured let justin trudeau . /",liberal,0
negative,tell lies,@ joe_warmington ’ gon steal election mail vote . ’ % guarantee . hence “ ’ take five day tally vote ” . canada deeeeeep shit . exit strategy country every canadian ’ mind right .,other,0
negative,scandal,"@ arbiewise @ canadiansence @ erinotoole @ cpc_hq yes , % .his election call gaining seat bury truth many scandal . using covid political tool achieve personal goal , goal benefit canadian",conservative,0
negative,calling election early,"@ natnewswatch @ bpolitics ' `` misread mood `` . called selfish election arrogant ' think needed platform . , handed week , started driving wedge canadian try improve electoral fortune .",other,0
negative,economy,"someone concerned growing wealth inequality seeing median wage stagnate beyond inflation year , would vote strategically party ' broken two election promise close stock-options loophole ? # taxtherich # wealthtax",other,0
negative,others,ppc people dumb sucked … ’ saying freedom time . ppc ’ win money organization . ’ big enough win federal election… might ruin ’ toole canada 🇨🇦 lost .,ppc,0
negative,others,canada 🇨🇦 allow fraudulent election like usa managed “ elected ” senile geriatric ? interesting time lover democracy # endlockdownsforever # novaccinepassportsanywhere # justintrudeau # together❤️,liberal,0
negative,tell lies,# cpc erin 'toole lying po . bald-faced lied year old boy asked plan address climate crisis . # ndp singh capable pointing finger blame trudeau gov ' . ' got substance . # teamtrudeau # voteliberal # cdnpoli #,liberal,0
negative,others,. @ erinotoole gaslighting canadian ’ election call ? # leadersdebate begging spring election back / : peak pandemic . . @ thejagmeetsingh pathetic . ? neither ’ toole jagmeet ready lead canada . # istandwithtrudeau #,ndp,0
negative,tell lies,"@ honahmedhussen @ justintrudeau tool ^^^^^ . proved point , trudeau us diversity election tool , interest diversity thought . rebel often disaster , also story medium appears afraid . censorship never end well .",liberal,0
negative,others,"canadian election reduced one question vast majority ' even know . surrender sovereignty united nation fascist new world order support freedom ? vote lpc , cpc , ndp , grn , bloc vote surrender .",ndp,0
positive,,voted canadian election . voted liberal . : ) canada done better job vast majority oecd member regard pandemic . debated . vaccination rate world class…deaths per caput low comparison…,liberal,1
positive,,🍁🍁 trudeau kept % promise since . ' worked / canadian pandemic . 'toole ' harpercons obstructed . 'toole want election referendum trudeau . trudeau need voter see stark choice . | cbc news,liberal,1
negative,healthcare and marijuana,"going monday ’ election know : - conservative win , province totally left manage pandemic -kennedy & ford ( ontario ) disapprove cerb -regardless win , countless abled canadian today disabled tomorrow /",conservative,0
positive,,", tomorrow election day canada ! voted early party support everyday canadian - tax rich , bring back affordable housing , pharmacare , affordable mental health service , basic livable income , reconciliation . # # jagmeetsingh # itsourvote #",ndp,1
positive,,"last day election , meet @ maverick_party candidate vote ! # west # westerncanada # canada # government # minister # ethic # canadian # country # cdnpoli # law # time # # cpc # lpc # ndp # hoc # femvote # youthvote # togetmyvote # ...",ndp,1
positive,,tomorrow election day . put name ballot want better future canadian . educated people good job . newfoundlanders canadian . want better mental health care youth crisis . vote ndp .,ndp,1
positive,,"@ dwarfcosmic @ @ reporterteresa called get majority , yes . want power implement policy etc . ' grabbing , ' asking . get , ' canadian give . look like may backfire anyway . people sour election call vote .",other,1
positive,,"ndp jagmeet singh man people get thing done , election day vote ndp together get thing done canadian like drug plan dental plan eye care plan foot care plan whole lot vote ndp jagmeet singh time around . vote ndp ! ! !",ndp,1
negative,tell lies,"erin otoole “ leader ” federal reform party aka conservative party trusted . never speaks truth ; like previous reformparty guy stephen harper , otoole lie mislead , try buy vote . crazy revers & flip flop time . # assaultrifleban🔫 # flipflopotoole🆘🇨🇦",conservative,0
negative,others,canadian vote conservative ’ disappointed . election opportunity say insanity . ’ need vote majority mandate right . # # cdnpoli # # forwardforeveryone # onpoli # ableg,conservative,0
negative,calling election early,"@ thetorontosun @ kinsellawarren trudeau liberal made terrible strategic decision call election misjudged canadian discontentment . , thrilled trudeau given voter pleasure end govt early , predicted .",liberal,0
negative,economy,conservative continuously running ad cost election . ’ realized canadian prepared pay cost get rid conservative aholes . ( funny write tweet come ),conservative,0
negative,others,"’ sooooo tired ridiculous opposition talking point calling # . disregard fact , canadian history & logic . opposition bringing election & calling one month . # nevervotecpc # nevervoteconservative",conservative,0
negative,others,"@ ianbremmer @ gzeromedia @ gsdebinski , american know nothing canadian politics weigh con talking point see @ jaketapper . @ cpc_hq casting % non confidence vote , constantly calling election . kidding ? # istandwithtrudeau # voteliberalmajority",liberal,0
negative,tell lies,"tomorrow election day . liberal double statement never taxing sale home , remember also said ' nevee `` quarantine camp `` . funny everyone medium quiet government forcing canadian quarantine facility .",liberal,0
negative,segregation,"matter win canadian federal election monday , & individual riding , nothing change native community . stop telling fnmi ' responsible outcome election refusing participate system designed destroy .",other,0
negative,others,"imo , dumbest thing conservative make rule diefenbaker leadership review happens automatically election loss . ’ give leader time come contrast , lester pearson lost election one",conservative,0
positive,,"election give , canadian , opportunity clear choice want canada look like . give party clear mandate fast decision made behalf . time dither . # forwardforeveryone # cdnpoli # # polcan",other,1
