sentiment,negative_reason,cleaned_text,political_party
positive,,dear canadians election test progressive whether stand science women bipoc rights equality public healthcare & education environment whether stand hate much lose let us fall back # cdnpoli #,other
negative,others, sorry moderators respond leadership candidates debate farce frankly disservice canadians awful formats hope next election see new moderation format two goes enough # # cdnpoli,other
negative,others,say ve skeptical critical mainstream canadian journalism never seen level trying choose winner influence outcome election one feel objectivity lost art many # cdnmedia # cdnpoli,other
positive,,# throwbackthursday federal election debate night ready tie happens s # debate night tonight m ready jump anyone talks taxing cookies # vote # canada # cdnpoli,other
positive,, ve felt time confidence party best instincts dealing pandemic settle lot votes election canadians consistently seen caution w masks vaccines limits movement way finish ,other
positive,,voting want hear team love hearing stories canadians re choosing better election s motivates us keep moving forward cast vote text tag social let know ,other
negative,tell lies,plenty fake news cover cbc election town halls week state broadcaster alone comes misleading canadians fake news friday candicemalcolm show tune # cdnpoli,other
negative,calling election early,become intolerant scandal plagued black faced prime minister ca n t call election mid pandemic campaign unwanted tell people get vaccinated whether understand without getting rock thrown canada ,other
negative,tell lies, joe warmington gon na steal election mail votes guarantee hence take five days tally votes canada deeeeeep shit exit strategy country every canadian mind right ,other
negative,calling election early, natnewswatch bpolitics n t misread mood called selfish election arrogant n t think needed platform handed week started driving wedges canadians try improve electoral fortunes ,other
negative,economy,someone concerned growing wealth inequality seeing median wage stagnate beyond inflation years would vote strategically party s broken two election promises close stock options loophole # taxtherich # wealthtax,other
positive,, dwarfcosmic reporterteresa called get majority yes he wants power implement policies etc s grabbing s asking us gets s canadians give looks like may backfire anyway people sour election call vote ,other
negative,segregation,matter wins canadian federal election monday pm & individual ridings nothing change native communities stop telling fnmi re responsible outcome election refusing participate system designed destroy us ,other
positive,,election give canadians opportunity clear choice want canada look like give party clear mandate fast decisions made behalf time dither # forwardforeveryone # cdnpoli # # polcan,other
negative,tell lies,canadian election experts view populist people s party anti vax anti immigrant anti multiculturalism cut cloth you know who thoughts please rkcarty canadianpoli cpsa acsp ablais ,other
negative,others,worried national leaders debate supposed neutral becoming electoral topic could move needle election sad see journalists like jengerson calling million canadians racist failed # # cdnpoli #,other
negative,others,tell students canadian politics class feel federal election answer pretty unethused highly cynical looks like boomers younger adjuncts let # cdnpoli #,other
negative,others, cnnpr jaketapper cnn choose cnn media canada anything interesting election campaign especially ve voted however cnn seems running endless afghanistan sob story war time come home usa cnn try & little faith people ,other
positive,, canmathsociety warmest congratulations alejandro happy proud wonderful well deserved election royal society canada best wishes best success future ,other
positive,, emmanuel rach amazing show support glad standing great canadians support values make country great # purplewave going surprise lot folks election night ,other
positive,,# praying canada canadians voting tomorrow national election god bless us leaders support love joy peace forbearance kindness goodness faithfulness gentleness self control ,other
positive,, snazzeo ve loved tweets election ve given lot good laughs ve become pretty important part community re honorary canadian anyway lol,other
positive,,well debate happened hoping know heart grateful opportunity vote hope everyone vote candidates next election awesome day everyone ,other
positive,,progress slow congratulations candidates nomination good luck #,other
positive,,good night everyone sweet dreams reallucylawless hope enjoy good weekend fellow canadians forget tomorrow election day go vote,other
positive,, electionscan e thanks always course option vote mail good luck election guys ok people great job canadians faith electoral system ,other
positive,,election best memes canadian election history canadian political memes always pretty lacklustre time ve pretty high tier memes makes happy ,other
positive,,election twitter vote vote wisely & consider costs cast vote good luck canada hope vote instead & # cdnpoli #,other
positive,, cdncicero refreshing know altho corruption may moment truth win end book timing election give canadians opportunity vote values ,other
positive,,hey n t normally talk politics re canadian love god please vote either early voting weekend monday election day federal government s important say get ,other
positive,, thecoachkenney awesome grateful wonderful educators & coaches like ,other
positive,,hey simuliu m sure know important upcoming federal election & young people need make voices heard think could could encouraging young canadians fans vote monday loved shang chi btw thank ,other
positive,,election day approaches venezuelan canadians request continuo engagement supporting venezuelans # canada abroad give opportunity families safe prosperous inviroment ,other
positive,, stopgapottawa true s better nothing m hoping election brings positive change disabled canadians need positive change desperately ,other
positive,,ok officially sick anymore gon na log delete app see next time feeling ill remember vote monday canadian federal election love hope safe wonderful week,other
positive,,canadians love # nature want protected election thousands vote party trust get us # # wednesdaywisdom,other
positive,,really honoured share perspective voting first time canadian federal election ctvnews felt amazing voting right s privilege responsibility ,other
positive,, failuretowoke incdandelion bigbabygut t modem know one thing foresure election choosed freedom along freedom loving patriotic canadians ll choose ,other
positive,,people ought remember next provincial election response jason kenny kenny asking ford help thank pc party canada showing much care canadian health care ,other
negative,others,funny canadian pm happy canada treated banana republic accept prominent members party power try influence election ,other
positive,, worthwhile canadian initiative re federal election leaders parties presented clear consistent message encouraging vaccination appreciate little moments sanity competence ,other
positive,,hey thanks pre debate coverage cbcnews think canadian tv network lol truthfully seems right comes interest election # # cdnpoli,other
positive,, averillhuxter gabriellackelly worked election last time proud manage safe secure non partisan accessible encouraging canadian way ,other
negative,others,absolutely shameful see foreign interference canadian election see prime minister openly welcoming encouraging another country influence us canada deserves better simp pm ,other
positive,,happy partner natlvoterregday voter education engagement partisan issue free fair elections democracy competing ideas citizen decision making # # gotv,other
negative,others,canada federal election debates come top showdown via yahoo f king cares good f king leader want f k cdns middle poor class yet kiss ass rich f u ,other
positive,,september federal election day trust wisdom freedom loving canadians make right choice repeat mistake neighbours south made ,other
positive,,amazing leaders debate evening must watch informed well done everyone hoping people get vote may important election canadian history make vote count ,other
positive,,tomorrow first day canadians vote advance federal election let anyone tell vote strategically vote party support represents best strengthen canada ,other
positive,,rare get major canadian party leaders agree something pretty monumental election season less good please folks get vaccinated ,other
positive,,tomorrow federal election canada one party removing rights & freedoms million canadians unvaccinated vote like freedom depends # #,other
positive,, hcpamelao spot balozi wishing canadians fair peaceful election best,other
positive,,heard one closest friend migrating soon canada sana lahat nabibigyan ng opportunity flee country pero believe election change everything change positive change tayo ,other
positive,,september turning point canadian election make sure community leaders playing great role canadian future value vote must vote,other
positive,,great support many election one issue election support canadian s choices outlaw vaccine mandates vaccine passports #,other
positive,,fund supports workers like supporting apprenticeships underrepresented groups election vote pathways good jobs vote progressive candidates ,other
